,SteamId,ProfileURL,ReviewText,Review,ReviewLength,PlayHours,DatePosted
0,76561198021844574,https://steamcommunity.com/profiles/76561198021844574/,Pretty good. Played a few hours.,Recommended,27.0,"4,433.9 hrs on record",Posted: 8 May
1,76561198169975891,https://steamcommunity.com/profiles/76561198169975891/,Victoria III or we Jacobin revolt,Recommended,28.0,520.5 hrs on record,Posted: 21 May
2,mv1lle,https://steamcommunity.com/id/mv1lle/,"Imagine this: >> You're playing [insert] nation >> You promote clergy and build alcohol factories, peasants are happy and willing to work on these factories >> You're building the biggest industrial country on your continent, colonizing Africa, everyone is happy except Britain >> In the 20th century, you develop electronics and radio >> In 1920-25, the world runs out of rubber, the economy is in crisis now >> Your country is dying in endless revolutions >> Capitalists are now in power, oh no, libertarians... wait, now it is communists! >> All factories are closed, there are nore and more unemplyed >> Oh, you're in World War now, and your country is now part of every European nation and you're left with just one province The End, 10/10, play again as another nation",Recommended,643.0,276.4 hrs on record,Posted: 25 April
3,76561198012385048,https://steamcommunity.com/profiles/76561198012385048/,Victoria III Coming Soon?,Recommended,22.0,105.9 hrs on record,Posted: 24 April
4,peepeeboi42,https://steamcommunity.com/id/peepeeboi42/,Product received for free When Vic 3?????,Recommended,35.0,24.0 hrs on record,Posted: 14 March
5,Thezacher,https://steamcommunity.com/id/Thezacher/,VICKY 3 CONFIRMED!?!?! AAHHHHHH,Recommended,28.0,44.6 hrs on record,Posted: 27 February
6,76561199060001660,https://steamcommunity.com/profiles/76561199060001660/,">playing Victoria 2 as Italy >immediately justify against Austria to take Venice >kick their ass, take Venice >Viva Italia >Invoke Italia Irredentia, and claim a lot of Austrian land >sit back, build up industry and rail lines >ally with Spain against Portugal, and take their African colonies >Viva Italia >Fight Austria again for Illyria and Dalmatia, easily defeat them >Viva Italia >Back Poland in polish liberation crisis >end up in a war against France and Russia, allied with Britain and Germany >beat France, and take Marseille and Nice >Viva Italia >USA declares war on me because of huge infamy >Viva Italia >Former allies declare war on me because of huge infamy >Viva Italia >Kill 300 thousand brits in the alps before finally surrendering and losing great power status >VIVA ITALIA RIP Italian empire 9/10 they should add sex to the game",Recommended,710.0,66.0 hrs on record,Posted: 15 June
7,Bergel,https://steamcommunity.com/id/Bergel/,Have you ever tried to understand the global economy while colonizing china? Would you like to?,Recommended,80.0,206.1 hrs on record,Posted: 20 March
8,TheOutwardRug44,https://steamcommunity.com/id/TheOutwardRug44/,"most cursed paradox game they own >be me, Russia >managed to get an alliance with both Prussia and Austria at start of game >they both have a political dispute and declare war on each other >i back up the Austrians to prevent Prussia from forming Germany early >war ends and in the treaty i turned Rhineland into an independent country >Rhineland being grateful they wouldn't exist without me becomes my bff >through mods I had a Beethoven concert event start and normally Prussia gets the event every game but they didn't own the province Beethoven lived in, it was Rhineland >Rhineland through all the prestige they got from Beethoven and all the factories I was building in their country (turns out Rhineland is one of the best Iron/Coal provinces in Europe) they turn into a secondary power >After turning into a secondary power they figure the best way to flex their muscles is to declare war on a one province country that is in Austria's sphere >As I'm fighting Austrian troops on my polish border, Prussia decides it wants its best provinces back and declares war on Rhineland >It's 1850-1860 Austria and Prussian troops are pushing into my polish lands as im scrambling troops to try and create a frontline >Then, the ai with its 5-head logic, Austria and Prussia decide to kick off the brothers war while all of their troops are in poland kicking my ass So you got Russia, Austria, and Prussia all fighting each other in a 3 way war, freeforall style, its battleroyale poland This literally can't get any more crazy pOlIsH iNdEpEnDeNcE Polish rebels spawn in every polish province and start slaughtering EVERYBODY 10/10 would free rhineland again",Recommended,1373.0,67.1 hrs on record,Posted: 18 July
9,76561198082903799,https://steamcommunity.com/profiles/76561198082903799/,"The UI is confusing. The economy breaks late into the game. The learning curve is exceptionally steep. The tutorial: practically nonexistent. It's still the best grand strategy Paradox has ever made. This is the only game, in my opinion, which actually feels like you are running a *real* country, not just a paper representation. Every solider, artisan, peasant, capitalist, craftsmen, all the parts of a population (POPs) are modelled with needs and wants, which must are fulfilled by the world economy. Dozens of goods flow in and out of the world market, the price of said goods being affected by supply and demand. Elections are modelled based on the actual political leanings of the POPs, immigration, internal migrations, birth rate, death rate are represented. Your nation is not merely a entity on the map, it is the product of it's diverse peoples- just like in real life. It's incredible to see your nation turn from a rural backwater to a strong industrialized state- or just as interesting to see in crumble as you deal with a collapsing economy, an angry populace and an ineffective government. Let's all hope that Victoria 3 takes these principles to heart, and delivers a worthy successor to this masterpiece of a game.",Recommended,1029.0,414.0 hrs on record,Posted: 22 May
10,destroybear,https://steamcommunity.com/id/destroybear/,victoria III confirmed trust me my great grandfathers uncle his friend knows somebody who has a friend who worked at paradox twenty years ago,Recommended,118.0,59.4 hrs on record,Posted: 25 March
11,SittingOnCeilings,https://steamcommunity.com/id/SittingOnCeilings/,"Over 1,000 hours. That's it. I'm never playing this game again. My girlfriend won't let me.",Recommended,76.0,"1,001.4 hrs on record",Posted: 28 April
12,76561198263139818,https://steamcommunity.com/profiles/76561198263139818/,this is a game and also a birth control method,Recommended,37.0,6.5 hrs on record,Posted: 29 May
13,76561198056742926,https://steamcommunity.com/profiles/76561198056742926/,This game actively protects my virginity.,Not Recommended,36.0,"1,120.0 hrs on record",Posted: 3 March
14,Lone_Rabbit,https://steamcommunity.com/id/Lone_Rabbit/,More war crimes please,Recommended,19.0,37.2 hrs on record,Posted: 14 March
15,76561198230775432,https://steamcommunity.com/profiles/76561198230775432/,Product received for free I lost my wife,Recommended,33.0,75.3 hrs on record,Posted: 2 April
16,Cracks066,https://steamcommunity.com/id/Cracks066/,The Industrial Revolution and its consequences have been a disaster for the human race.,Recommended,74.0,40.7 hrs on record,Posted: 26 February
17,Venora,https://steamcommunity.com/id/Venora/,World Economy Crash Simulation,Recommended,27.0,264.2 hrs on record,Posted: 18 April
18,76561198136752441,https://steamcommunity.com/profiles/76561198136752441/,Product received for free Vic 3 was announced today. Therefore I am now officially in the elite minority who played Vic 2 before Vic 3,Recommended,110.0,80.9 hrs on record,Posted: 21 May
